"","Diff.","Avg. score","SD","Min.","Obs. min.","Max.","Obs. max.","Prop. max.","RIT","RIR","ULI","Rel.","\(\alpha\)-drop","Missed [%]","Not-reached [%]"
"V17",0.611111111111112,-6.50376743201638e-16,1.00261438354645,-2.31739487385878,-2.31739487385878,1.47470582881922,1.47470582881922,0.125,0.39176474704636,0.347155485558567,0.200520833333333,0.39278897035512,0.900744311447154,0,0
"V18",0.447048611111111,5.05961013826569e-17,1.00261438354646,-1.35930282581511,-1.35930282581511,1.68131242727034,1.68131242727034,0.140625,0.49714339297916,0.457134734150758,0.359375,0.498443116485994,0.899355898562416,0,0
"V19",0.50173611111111,3.23914434048149e-16,1.00261438354646,-1.68345071543216,-1.68345071543216,1.6718005374707,1.6718005374707,0.09375,0.352415103915862,0.306406641488774,0.234375,0.353336452165063,0.901254815500536,0,0
"V20",0.585937499999999,-3.18032637262415e-17,1.00261438354646,-2.27636890744389,-2.27636890744389,1.60863402792702,1.60863402792702,0.0833333333333333,0.601343856059061,0.567131343717195,0.330729166666667,0.602915999542105,0.897951714354213,0,0
"V21",0.458333333333334,-9.86768537251474e-16,1.00261438354646,-1.43818499101335,-1.43818499101335,1.69967317119759,1.69967317119759,0.09375,0.537431091403863,0.49951466499072,0.375,0.538836142406582,0.898816737659924,0,0
"V23",0.240625000000001,-6.17127876578749e-16,1.00261438354646,-1.18752334139391,-1.18752334139391,3.74763859686648,3.74763859686648,0.00520833333333333,0.301319214587538,0.253748489693237,0.115625,0.302106978584387,0.901911394971315,0,0
"V24",0.539930555555556,-8.79938483189235e-16,1.00261438354646,-1.92286954099458,-1.92286954099458,1.63845796901467,1.63845796901467,0.0625,0.657664417484063,0.627112238375369,0.432291666666667,0.659383804516224,0.89717941763874,0,0
"V25",0.370659722222222,1.66143140911679e-15,1.00261438354646,-1.25872203613176,-1.25872203613176,2.13717441731974,2.13717441731974,0.0260416666666667,0.313589002571926,0.266367344257196,0.205729166666667,0.3144088445006,0.90175437444314,0,0
"V26",0.21875,1.32706345912226e-16,1.00261438354646,-0.959514491008403,-0.959514491008403,3.42683746788715,3.42683746788715,0.00520833333333333,0.448576171571057,0.406291562833975,0.244791666666667,0.449748921733345,0.899999683692926,0,0
"V27",0.7578125,-1.40281305090658e-15,1.00261438354646,-3.37938297104714,-3.37938297104714,1.08000899074702,1.08000899074702,0.260416666666667,0.408144310224736,0.36416819710097,0.161458333333333,0.409211355993967,0.900530549052748,0,0
"V28",0.585069444444444,-4.36861195366826e-16,1.00261438354646,-2.1249674025196,-2.1249674025196,1.5070243596504,1.5070243596504,0.0833333333333333,0.559115957434032,0.522403052657834,0.354166666666667,0.560577700993709,0.898524587006431,0,0
"V29",0.360243055555556,-7.58652400160524e-16,1.00261438354646,-1.2611302287101,-1.2611302287101,2.23964573146829,2.23964573146829,0.0260416666666667,0.588504838810115,0.553510102136844,0.372395833333334,0.590043416177711,0.898126447161692,0,0
"V30",0.244791666666666,-1.00324841027325e-16,1.00261438354646,-0.95534507026403,-0.95534507026403,2.94734117421882,2.94734117421882,0.0208333333333333,0.216918035039276,0.167388133797816,0.161458333333333,0.217485141981012,0.902980603937912,0,0
"V31",0.511284722222222,1.02710085806793e-16,1.00261438354646,-2.06405093725115,-2.06405093725115,1.9729383322112,1.9729383322112,0.0572916666666667,0.327068278054877,0.280249060630425,0.130208333333333,0.327923359979592,0.901581406604827,0,0
"V32",0.5859375,7.54604712049911e-16,1.00261438354646,-2.02982963577955,-2.02982963577955,1.43441294261755,1.43441294261755,0.151041666666667,0.525766714505535,0.487225358698902,0.309895833333333,0.527141270353214,0.898973321313893,0,0
"V33",0.584201388888889,1.06685493772574e-16,1.00261438354646,-2.18085048320783,-2.18085048320783,1.55219521761746,1.55219521761746,0.0989583333333333,0.133673542683961,0.0829566760201441,0.0468750000000001,0.134023016594551,0.904016862015361,0,0
"V34",0.57986111111111,9.09862463149835e-16,1.00261438354646,-2.09421882256953,-2.09421882256953,1.51736812892763,1.51736812892763,0.0989583333333333,0.367525409011918,0.322033955613909,0.171875,0.368486261394143,0.901059285396091,0,0
"V35",0.458333333333334,1.51788304147971e-16,1.00261438354646,-1.80838886035893,-1.80838886035893,2.13718683496964,2.13718683496964,0.0260416666666667,0.444268721176632,0.401795156438007,0.244791666666667,0.445430210011481,0.900056458464384,0,0
"V36",0.690972222222223,8.35413913972497e-16,1.00261438354646,-2.69633835031093,-2.69633835031093,1.20590006621946,1.20590006621946,0.21875,0.446812380491497,0.404450146025051,0.223958333333333,0.447980519427407,0.900022937839228,0,0
"V38",0.663194444444444,5.54027310140093e-16,1.00261438354646,-2.57100647389703,-2.57100647389703,1.30569438726708,1.30569438726708,0.177083333333333,0.517915560903989,0.478962385509988,0.294270833333333,0.519269590824871,0.899078494215638,0,0
"V39",0.495659722222223,-6.00467303194889e-17,1.00261438354646,-1.85242239121265,-1.85242239121265,1.88486411435122,1.88486411435122,0.0416666666666667,0.411071412184118,0.367211600434287,0.223958333333333,0.412146110520551,0.90049227015789,0,0
"V40",0.241319444444444,1.66822574273103e-16,1.00261438354646,-0.899511525754878,-0.899511525754878,2.82796069607829,2.82796069607829,0.0208333333333333,0.402867113384844,0.35868374270238,0.260416666666666,0.403920362537486,0.90059950080763,0,0
"V41",0.361979166666666,1.01307850997046e-15,1.00261438354646,-1.28168224087968,-1.28168224087968,2.25908020874477,2.25908020874477,0.0208333333333333,0.29966480060007,0.25204826486248,0.205729166666666,0.300448239324211,0.901932536008059,0,0
"V42",0.2578125,-2.02384405530628e-16,1.00261438354646,-0.896536623623461,-0.896536623623461,2.58093876497663,2.58093876497663,0.046875,0.496912137269599,0.456892005600825,0.315104166666666,0.498211256185311,0.899358979918072,0,0
"V43",0.150173611111111,3.50992383305974e-16,1.00261438354646,-0.668202742692893,-0.668202742692893,3.78133228379389,3.78133228379389,0.0104166666666667,0.528208837529841,0.489797024131304,0.263020833333333,0.529589778023773,0.898940570656414,0,0
"V44",0.544270833333333,3.32054985359894e-16,1.00261438354646,-1.66178592595464,-1.66178592595464,1.3914475456558,1.3914475456558,0.145833333333333,0.517050252671842,0.478052122043528,0.348958333333333,0.518402020345118,0.899090074868425,0,0
"V45",0.433159722222222,-8.32667268468867e-16,1.00261438354646,-1.26995857698624,-1.26995857698624,1.66188968090584,1.66188968090584,0.078125,0.628837030891814,0.596364584849312,0.466145833333333,0.63048105207878,0.897575899279364,0,0
"V46",0.5078125,-1.15286831007625e-16,1.00261438354646,-1.58379633950914,-1.58379633950914,1.53506414444732,1.53506414444732,0.09375,0.302799189551341,0.255269697981845,0.2265625,0.303590822770385,0.901892476770519,0,0
"V47",0.263888888888889,-1.42536445609428e-16,1.00261438354646,-0.934928879479734,-0.934928879479734,2.60795950591715,2.60795950591715,0.0260416666666667,0.423405885395912,0.380046690005831,0.2890625,0.424512830776164,0.900330704604815,0,0
"V49",0.270833333333333,-2.89987941067456e-16,1.00261438354646,-0.947283026736657,-0.947283026736657,2.55037737967562,2.55037737967562,0.00520833333333333,0.489191905478565,0.448792267942702,0.320312499999999,0.490470840747307,0.899461759886479,0,0
"V50",0.34375,-1.44310923165062e-15,1.00261438354646,-1.080757689168,-1.080757689168,2.06326467932072,2.06326467932072,0.0520833333333333,0.586619574555926,0.551511599412154,0.4140625,0.588153223119675,0.898152063671302,0,0
"V51",0.182291666666667,-7.66747776381749e-16,1.00261438354646,-0.694420752194661,-0.694420752194661,3.11497308841605,3.11497308841605,0.0104166666666667,0.474758699381774,0.433667777078817,0.286458333333333,0.475999900713974,0.899653453440434,0,0
"V52",0.181423611111111,-5.81457625103976e-16,1.00261438354646,-0.705184234902402,-0.705184234902402,3.18176427518165,3.18176427518165,0.0104166666666667,0.528521747867606,0.490126582388036,0.322916666666667,0.529903506429175,0.898936373052177,0,0
"V53",0.172743055555555,-6.3472809184543e-16,1.00261438354646,-0.65774792012785,-0.65774792012785,3.14991843156704,3.14991843156704,0.015625,0.533734236617514,0.495618051536417,0.34375,0.535129622623907,0.898866407265614,0,0
Note: Estimate (SD) of Cronbach's alpha for the test as a whole is: 0.9 (0.44).
